"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Состав;Weight;Length;Width;Height;"SEO title";"SEO descr";"FB title";"FB descr"
365694176658;;;;;"Артикул 1814";"Размеры 44-52";;https://static.tildacdn.com/tild6537-6532-4732-a463-383465353237/1814_3.jpg;;;;;;njfUkZXka7PyD44xEfMA;;;0;0;0;0;"Платье 1814";"Женское платье из натуральных тканей от белорусского производителя. Артикул 1814";;
300767799275;;1814;;;"Артикул 1814 / Синий- Синий";;;https://static.tildacdn.com/tild6537-6532-4732-a463-383465353237/1814_3.jpg;27.0000;3;;Цвет:Синий;;ZiI8elYFGsscHvT41jtz;365694176658;;0;0;0;0;;;;
503710513007;;;;;"Артикул 1964";"Размеры 52-60";;https://static.tildacdn.com/tild6434-6331-4031-b830-326638313264/1964_0.jpg;;;;;;Ee5a0iL1nsGee0XVtLm3;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Платье 1811";"Женское платье от белорусского производителя. Размеры от 48 до 56. Артикул 1811";;
133167561902;;1964;;;"Артикул 1964 / Чёрный- Чёрный";;;https://static.tildacdn.com/tild6434-6331-4031-b830-326638313264/1964_0.jpg;23.0000;15;;Цвет:Чёрный;;zIBYdIUEXjgAKlkBkP9s;503710513007;;0;0;0;0;;;;
312309665996;;"1964 т";;;"Артикул 1964- ";;;https://static.tildacdn.com/tild3661-3962-4366-a234-636636656666/__4628_.jpg;25.0000;0;;Цвет:;;dFtiZD6rkSMKSJaGHYtx;503710513007;;0;0;0;0;;;;
947838060101;;;;;"Артикул 1770";"Размеры 46-54";;https://static.tildacdn.com/tild6138-3633-4634-b937-346131626262/1770_0.jpg;;;;;;V7lJhX5tX3ZINSMch74I;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
536699568103;;1770;;;"Артикул 1770 / Серый- Серый";;;https://static.tildacdn.com/tild6138-3633-4634-b937-346131626262/1770_0.jpg;25.0000;0;;Цвет:Серый;;bd3pMcVJrnBCv5mY160k;947838060101;;0;0;0;0;;;;
287487311578;;;;;"Артикул 1940";"Размеры 46-54";;https://static.tildacdn.com/tild3939-3730-4162-b339-333761636234/1940_0.jpg;;;;;;V7lJhX5tX3ZINSMch74I;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
410080230032;;1940;;;"Артикул 1940 / Бежевая клетка- Бежевая клетка";;;https://static.tildacdn.com/tild3939-3730-4162-b339-333761636234/1940_0.jpg;24.0000;1;;"Цвет:Бежевая клетка";;bd3pMcVJrnBCv5mY160k;287487311578;;0;0;0;0;;;;
133270631899;;;;;"Артикул 1954";"Размеры 44-52";;https://static.tildacdn.com/tild3230-6136-4862-b036-636363643532/__4144_.jpg;;;;;;V7lJhX5tX3ZINSMch74I;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
858333647106;;1954;;;"Артикул 1954 / Синий- Синий";;;https://static.tildacdn.com/tild3230-6136-4862-b036-636363643532/__4144_.jpg;23.0000;4;;Цвет:Синий;;bd3pMcVJrnBCv5mY160k;133270631899;;0;0;0;0;;;;
297334002548;;;;;"Артикул 1843";"Размеры 52-60";;https://static.tildacdn.com/tild3034-3731-4837-b830-663133626130/__0957_.jpg;;;;;;V7lJhX5tX3ZINSMch74I;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
290116230265;;1843;;;"Артикул 1843 / Сердечки на синем фоне- Сердечки на синем фоне";;;https://static.tildacdn.com/tild3034-3731-4837-b830-663133626130/__0957_.jpg;26.0000;1;;"Цвет:Сердечки на синем фоне";;bd3pMcVJrnBCv5mY160k;297334002548;;0;0;0;0;;;;
373815040288;;;;;"Артикул 1932";"Размеры 42-50";;https://static.tildacdn.com/tild3764-3864-4231-b261-353063633031/__1093_.jpg;;;;;;V7lJhX5tX3ZINSMch74I;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
527848290239;;1932;;;"Артикул 1932 / Черный в лепесточки- Черный в лепесточки";;;https://static.tildacdn.com/tild3061-3139-4435-b230-383064366436/__1091_.jpg;23.0000;1;;"Цвет:Черный в лепесточки";;bd3pMcVJrnBCv5mY160k;373815040288;;0;0;0;0;;;;
208711108991;;;;;"Рубашка 139";"Размеры 42-46";;https://static.tildacdn.com/tild3861-6362-4931-b963-366533313165/__1484_.jpg;;;;;;j29L1eRehMncZe1GCTHn;;;0;0;0;0;;;;
547148635491;;139;;;"Рубашка 139 / Пудра- Пудра";;;https://static.tildacdn.com/tild3861-6362-4931-b963-366533313165/__1484_.jpg;17.0000;0;;Цвет:Пудра;;iGRkxfbDJtENeyBMg4F3;208711108991;;0;0;0;0;;;;
274223881431;;;;;"Свитер 2003";42-48;;https://static.tildacdn.com/tild3837-6335-4362-a462-373136373832/orh2129769__.jpg;;;;;;Gp6oSaGzMZkjVN5CFLvm;;;0;0;0;0;;;;
915669149201;;2003;;;"Свитер 2003 / Темно-синий- Темно-синий";;;https://static.tildacdn.com/tild3837-6335-4362-a462-373136373832/orh2129769__.jpg;15.0000;0;;Цвет:Темно-синий;;J2SiBinTIDcjOfMyxEF6;274223881431;;0;0;0;0;;;;
745181871251;;;;;"Артикул 128";"Размеры 42-48";;https://static.tildacdn.com/tild3533-3332-4131-b735-626661356438/orh2129475__.jpg;;;;;;rrKySy73TA9hcvIoDTfA;;;0;0;0;0;;;;
564656275551;;128;;;"Артикул 128 / Золотой- Золотой";;;https://static.tildacdn.com/tild3533-3332-4131-b735-626661356438/orh2129475__.jpg;20.0000;6;;Цвет:Золотой;;gTAtSskiIeGxAObYAbJf;745181871251;;0;0;0;0;;;;
782152511751;;;;;"Брюки 052";"Размеры 42-50";;https://static.tildacdn.com/tild3031-3062-4435-b630-666266333536/__1478_.jpg;;;;;;1ICPYg0yNMrl1UMEitzE;;;0;0;0;0;;;;
669940326821;;052;;;"Брюки 052 / Черный- Черный";;;https://static.tildacdn.com/tild3031-3062-4435-b630-666266333536/__1478_.jpg;14.0000;35;;Цвет:Черный;;N0OV20yzzOVJYrTPo7sD;782152511751;;0;0;0;0;;;;
157091468531;;;;;"Сарафан 2014";"Размеры 42-50";;https://static.tildacdn.com/tild6461-3034-4231-a136-613539643232/__1549_.jpg;;;;;;5MHdvif03eKMmsKaGs2y;;;0;0;0;0;;;;
393497596281;;2014;;;"Сарафан 2014 / Черная экокожа- Черная экокожа";;;https://static.tildacdn.com/tild6461-3034-4231-a136-613539643232/__1549_.jpg;21.0000;52;;"Цвет:Черная экокожа";;uYokVtzdlojoH0tbuUfA;157091468531;;0;0;0;0;;;;
120129605331;;;;;"Артикул 2007";"Размеры 46-54";;https://static.tildacdn.com/tild3065-6237-4634-b064-346632623131/__0919_.jpg;;;;;;DZtj85aZtssfVlYYgAH7;;;0;0;0;0;;;;
161409201281;;2007;;;"Артикул 2007 / Черный в крапинку- Черный в крапинку";;;https://static.tildacdn.com/tild3065-6237-4634-b064-346632623131/__0919_.jpg;24.0000;39;;"Цвет:Черный в крапинку";;b5YssJlbm0SkrL39sXvB;120129605331;;0;0;0;0;;;;
824852091991;;;;;"Артикул 131";"Размеры 42-50";;https://static.tildacdn.com/tild3239-3436-4537-a335-646230333933/201_2.jpg;;;;;;sLNGVU57YrhbAhmGi6FO;;;0;0;0;0;;;;
220080949091;;131;;;"Артикул 131 / Зеленое с черными вставками из экокожи- Зеленое с черными вставками из экокожи";;;https://static.tildacdn.com/tild3239-3436-4537-a335-646230333933/201_2.jpg;21.0000;12;;"Цвет:Зеленое с черными вставками из экокожи";;M0TkVibDTotybXzpg1eA;824852091991;;0;0;0;0;;;;
